feedback_id,cluster_id,cluster_label,v3_cluster_id,v3_cluster_label
SYN-ENH-104,6,V4_C6,4,C1.3
SYN-ENH-105,6,V4_C6,4,C1.3
SYN-ENH-106,6,V4_C6,4,C1.3
SYN-ENH-107,6,V4_C6,4,C1.3
SYN-ENH-108,6,V4_C6,4,C1.3
SYN-ENH-109,6,V4_C6,4,C1.3
SYN-ENH-110,6,V4_C6,4,C1.3
SYN-ENH-111,6,V4_C6,4,C1.3
SYN-ENH-112,6,V4_C6,4,C1.3
SYN-ENH-113,6,V4_C6,4,C1.3
SYN-ENH-114,0,V4_C0,9,C4.0
SYN-ENH-115,6,V4_C6,2,C1.1
SYN-ENH-116,6,V4_C6,2,C1.1
SYN-ENH-117,4,V4_C4,6,C2
SYN-ENH-118,4,V4_C4,6,C2
SYN-ENH-119,6,V4_C6,2,C1.1
SYN-ENH-120,6,V4_C6,2,C1.1
SYN-ENH-121,4,V4_C4,6,C2
SYN-ENH-122,6,V4_C6,2,C1.1
SYN-ENH-123,6,V4_C6,2,C1.1
SYN-ENH-124,6,V4_C6,2,C1.1
SYN-ENH-125,6,V4_C6,2,C1.1
SYN-ENH-126,6,V4_C6,2,C1.1
SYN-ENH-127,6,V4_C6,2,C1.1
SYN-ENH-128,6,V4_C6,2,C1.1
SYN-ENH-129,6,V4_C6,2,C1.1
SYN-ENH-130,4,V4_C4,6,C2
SYN-ENH-131,0,V4_C0,9,C4.0
SYN-ENH-132,6,V4_C6,2,C1.1
SYN-ENH-133,0,V4_C0,9,C4.0
